Date,Day,Lang,Quote,Author
30/11/2025,Sunday,hi,हिम्मत मत हारो — जीवन में सबक मिलते रहते हैं।,Unknown
30/11/25,Sunday,,Difficulties increase the nearer we get to the goal.,Johann Wolfgang von Goethe
30/11/25,Sunday,,A house divided against itself cannot stand.,Abraham Lincoln
30/11/25,Sunday,,"Be not glad at the misfortune of another, though he may be your enemy.",George Washington
30/11/25,Sunday,"Note that this journey is uniquely yours, no one elses. So the path has to be your own.",Jon Kabat-Zinn
30/11/25,Sunday,A Hero is an ordinary individual who finds the strength to persevere and endure in spite of overwhelming obstacles.,Christopher Reeve
30/11/25,Sunday,"It ain't where you start in life, it's where you end up, and what you did along the way.",Colin Powell
30/11/25,Sunday,The only problem we really have is we think we're not supposed to have problems! Problems call us to higher level- - face & solve them now!,Tony Robbins
30/11/25,Sunday,Trying to predict the future is like trying to drive down a country road at night with no lights while looking out the back window.,Peter Drucker
30/11/25,Sunday,"A single act of kindness throws out roots in all directions, and the roots spring up and make new trees.",Amelia Earhart
30/11/25,Sunday,Muddy water is best cleared by leaving it alone.,Alan Watts
30/11/25,Sunday,Progress comes to those who train and train; reliance on secret techniques will get you nowhere.,Morihei Ueshiba
30/11/25,Sunday,We never know how high we are till we are called to rise. Then if we are true to form our statures touch the skies.,Emily Dickinson
30/11/25,Sunday,"Definitions belong to the definers, not the defined.",Toni Morrison
30/11/25,Sunday,Comedy = tragedy + time.,Carol Burnett
30/11/25,Sunday,"Learn to use your emotions to think, not think with your emotions.",Robert Kiyosaki
30/11/25,Sunday,The traveler sees what he sees. The tourist sees what he has come to see.,Gilbert Chesterton
01/12/25,Monday,"Don't settle, and don't struggle.",Naval Ravikant
02/12/25,Tuesday,"For the things we have to learn before we can do them, we learn by doing them.",Aristotle
02/12/25,Tuesday,Don't want anything. Then you get everything.,Seungsahn
02/12/25,Tuesday,"The more we value things, the less we value ourselves.",Bruce Lee
02/12/25,Tuesday,To the world you may be one person; but to one person you may be the world.,Dr. Seuss
02/12/25,Tuesday,The art of being wise is knowing what to overlook.,William James
02/12/25,Tuesday,The difference between winning and losing is most often not quitting.,Walt Disney
02/12/25,Tuesday,"To lead an orchestra, you must turn your back on the crowd.",Aristotle
02/12/25,Tuesday,I think self-awareness is probably the most important thing towards being a champion.,Billie Jean King
02/12/25,Tuesday,The way to get started is to quit talking and begin doing.,Walt Disney
02/12/25,Tuesday,Do not look upon this world with fear and loathing. Bravely face whatever the gods offer.,Morihei Ueshiba
02/12/25,Tuesday,,"Over time, loneliness gets inside you and doesn't go away.",Carlos Ruiz Zafon
02/12/25,Tuesday,Eng,"Greatness lies not in being strong, but in the right use of strength.",Henry Ward Beecher
02/12/25,Tuesday,English,What you are afraid of is never as bad as what you imagine. The fear you let build up in your mind is worse than the situation that actually exists.,Spencer Johnson
02/12/25,Tuesday,English,All happiness depends on courage and work.,Honore de Balzac
